,Date Of Death Year,Date Of Death Month,Sex,Race/Ethnicity,AgeGroup,AllCause,NaturalCause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",AnalysisDate,Start Date,End Date
0,2019,1,F,1,1,204,162.0,4.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,22.0,4.0,0.0,0.0,0.0,02/23/2021,01/01/2019,01/31/2019
1,2019,1,F,1,2,48,28.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02/23/2021,01/01/2019,01/31/2019
2,2019,1,F,1,3,77,45.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,02/23/2021,01/01/2019,01/31/2019
3,2019,1,F,1,4,161,100.0,4.0,29.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0,02/23/2021,01/01/2019,01/31/2019
4,2019,1,F,1,5,426,260.0,4.0,96.0,4.0,0.0,11.0,4.0,4.0,4.0,4.0,25.0,10.0,0.0,0.0,02/23/2021,01/01/2019,01/31/2019
5,2019,1,F,1,6,885,500.0,4.0,209.0,40.0,4.0,15.0,4.0,4.0,10.0,4.0,63.0,28.0,0.0,0.0,02/23/2021,01/01/2019,01/31/2019
6,2019,1,F,1,7,1684,942.0,20.0,368.0,62.0,4.0,32.0,24.0,26.0,21.0,4.0,146.0,35.0,0.0,0.0,02/23/2021,01/01/2019,01/31/2019
7,2019,1,F,1,8,2338,1311.0,22.0,382.0,87.0,32.0,40.0,43.0,38.0,54.0,4.0,249.0,76.0,0.0,0.0,02/23/2021,01/01/2019,01/31/2019
8,2019,1,F,1,9,3335,1908.0,33.0,363.0,95.0,126.0,55.0,77.0,58.0,53.0,4.0,417.0,146.0,0.0,0.0,02/23/2021,01/01/2019,01/31/2019
9,2019,1,F,1,10,4716,2663.0,28.0,275.0,83.0,374.0,93.0,114.0,38.0,44.0,19.0,745.0,240.0,0.0,0.0,02/23/2021,01/01/2019,01/31/2019
10,2019,1,F,2,1,19,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,02/23/2021,01/01/2019,01/31/2019
11,2019,1,F,2,2,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02/23/2021,01/01/2019,01/31/2019
12,2019,1,F,2,3,8,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02/23/2021,01/01/2019,01/31/2019
13,2019,1,F,2,4,37,21.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,02/23/2021,01/01/2019,01/31/2019
