Date Of Death Year,Date Of Death Month,Sex,Race/Ethnicity,AgeGroup,AllCause,NaturalCause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",AnalysisDate,Start Date,End Date
2020,11,1,5,1,427,331.0,4.0,4.0,0.0,0.0,4.0,0.0,4.0,4.0,64.0,0.0,4.0,4.0,4.0,02/23/2021,11/01/2020,11/30/2020
2019,6,2,3,4,43,21.0,0.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,02/23/2021,06/01/2019,06/30/2019
2020,9,1,1,8,4917,2372.0,26.0,492.0,136.0,17.0,36.0,34.0,41.0,39.0,12.0,490.0,100.0,576.0,546.0,02/23/2021,09/01/2020,09/30/2020
2020,3,1,1,2,51,31.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,02/23/2021,03/01/2020,03/31/2020
2020,8,2,3,5,90,41.0,0.0,13.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,02/23/2021,08/01/2020,08/31/2020
2020,7,1,6,10,245,128.0,4.0,14.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,38.0,4.0,17.0,16.0,02/23/2021,07/01/2020,07/31/2020
2019,12,1,2,9,234,133.0,4.0,29.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,40.0,4.0,0.0,0.0,02/23/2021,12/01/2019,12/31/2019
2020,7,2,1,3,158,77.0,4.0,11.0,4.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,21.0,21.0,02/23/2021,07/01/2020,07/31/2020
2019,6,2,6,10,282,155.0,4.0,18.0,4.0,14.0,4.0,4.0,4.0,4.0,4.0,45.0,22.0,0.0,0.0,02/23/2021,06/01/2019,06/30/2019
2019,7,2,5,8,24437,13501.0,262.0,4906.0,461.0,297.0,165.0,1168.0,241.0,245.0,130.0,2506.0,555.0,0.0,0.0,02/23/2021,07/01/2019,07/31/2019
2020,12,1,2,2,12,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,02/23/2021,12/01/2020,12/31/2020
2019,1,1,2,8,313,174.0,4.0,41.0,17.0,0.0,4.0,15.0,4.0,0.0,4.0,40.0,10.0,0.0,0.0,02/23/2021,01/01/2019,01/31/2019
2019,1,2,3,2,12,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02/23/2021,01/01/2019,01/31/2019
2020,1,1,6,9,384,211.0,4.0,45.0,4.0,4.0,11.0,17.0,4.0,4.0,4.0,62.0,14.0,0.0,0.0,02/23/2021,01/01/2020,01/31/2020
2019,10,2,2,9,239,137.0,4.0,39.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,20.0,11.0,0.0,0.0,02/23/2021,10/01/2019,10/31/2019
2020,7,1,5,9,48545,25526.0,305.0,5952.0,790.0,946.0,342.0,1628.0,437.0,483.0,179.0,6057.0,1169.0,2481.0,2250.0,02/23/2021,07/01/2020,07/31/2020
2019,10,1,3,4,47,23.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,02/23/2021,10/01/2019,10/31/2019
2019,4,2,3,1,34,18.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,02/23/2021,04/01/2019,04/30/2019
2019,8,1,4,10,2656,1516.0,41.0,256.0,52.0,77.0,36.0,58.0,12.0,57.0,15.0,426.0,110.0,0.0,0.0,02/23/2021,08/01/2019,08/31/2019
2019,3,1,2,4,16,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,02/23/2021,03/01/2019,03/31/2019
2019,12,1,4,1,344,263.0,4.0,0.0,0.0,0.0,15.0,0.0,4.0,0.0,50.0,4.0,4.0,0.0,0.0,02/23/2021,12/01/2019,12/31/2019
2019,9,2,2,6,79,51.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,02/23/2021,09/01/2019,09/30/2019
2020,9,2,6,2,12,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,02/23/2021,09/01/2020,09/30/2020
2019,3,2,4,10,6306,3634.0,63.0,409.0,112.0,405.0,92.0,108.0,40.0,92.0,43.0,974.0,334.0,0.0,0.0,02/23/2021,03/01/2019,03/31/2019
